date,meal,item,quantity,item amount,debit,credit,balance
4/16/19 12:10,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$14.00 
4/16/19 12:10,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$14.25 
4/16/19 12:05,Lunch,Meal,1,$2.65 ,$2.65 ,,$14.50 
4/15/19 12:14,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$17.15 
4/15/19 12:14,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$17.40 
4/12/19 12:13,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$17.65 
4/12/19 12:13,Lunch,Gushers,1,$0.25 ,$0.25 ,,$17.90 
4/11/19 12:19,Lunch,Gushers,1,$0.25 ,$0.25 ,,$18.15 
4/11/19 12:19,Lunch,Gushers,1,$0.25 ,$0.25 ,,$18.40 
4/10/19 12:11,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$18.65 
4/9/19 12:18,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$18.90 
4/9/19 12:04,Lunch,Meal,1,$2.65 ,$2.65 ,,$19.15 
4/9/19 9:07,Breakfast,Deposit,1,$20.00 ,,$20.00 ,$21.80 
4/8/19 12:19,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$1.80 
4/8/19 12:19,Lunch,Gushers,1,$0.25 ,$0.25 ,,$2.05 
4/5/19 12:11,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$2.30 
4/5/19 12:11,Lunch,Gushers,1,$0.25 ,$0.25 ,,$2.55 
4/4/19 12:18,Lunch,Gushers,1,$0.25 ,$0.25 ,,$2.80 
4/4/19 12:18,Lunch,Gushers,1,$0.25 ,$0.25 ,,$3.05 
4/4/19 12:18,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$3.30 
4/4/19 12:06,Lunch,Meal,1,$2.65 ,$2.65 ,,$3.55 
4/3/19 12:21,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$6.20 
4/3/19 12:21,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$6.45 
4/2/19 12:16,Lunch,Deposit,1,$0.05 ,,$0.05 ,$6.70 
4/2/19 12:16,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$6.65 
4/2/19 12:16,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$6.90 
4/2/19 12:03,Lunch,Meal,1,$2.65 ,$2.65 ,,$7.15 
4/1/19 12:18,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$9.80 
4/1/19 12:18,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$10.05 
3/29/19 12:20,Lunch,Gushers,1,$0.25 ,$0.25 ,,$10.30 
3/29/19 12:20,Lunch,Teddy Grahams,1,$0.25 ,$0.25 ,,$10.55 
