name,user,location,created_at,price,first_bite,opg,crust,slices,cheese,notes,color
People's Pizza,Benjamin,Cherry Hill,2021-04-15,13.99,2.0,5.0,4.0,4.0,2.0,Consistent coloring. Basic but very satisying crust/sauce/cheese. Nothing fancy but not lacking either. ,#d99011
People's Pizza,Carolyn,Cherry Hill,2021-04-15,13.99,4.0,4.0,3.0,3.0,4.0,A satisfying pizza with good company ,#cb0000
Genova's,Benjamin,Audubon,2021-04-22,13.0,1.0,1.0,3.0,2.0,2.0,"I liked the garlic in the sauce, but could have used more cheese and another minute or two in the oven. Crust was made with love.",#d99011
Genova's,Carolyn,Audubon,2021-04-22,13.0,2.0,1.0,3.0,3.0,2.0,No puddles = no oil = not as good but something special about crust,#cb0000
Pronto Pizza,Benjamin,Merchantville,2021-04-27,12.45,2.0,2.0,1.0,3.0,2.0,Not enough sauce or masks.,#d99011
Pronto Pizza,Carolyn,Merchantville,2021-04-27,12.45,4.0,3.0,2.0,3.0,3.0,No masks,#cb0000
King of Pizza,Benjamin,Cherry Hill,2021-05-02,14.99,2.0,3.0,1.0,3.0,3.0,"Cash only. Looked amazing at first glance, but wasn't as good as I hoped. Crust is a little too thick, but I liked the cheese. ",#d99011
King of Pizza,Carolyn,Cherry Hill,2021-05-02,14.99,3.0,3.0,2.0,3.0,3.0,Crust too thick,#cb0000
Tony's Pizza,Benjamin,Haddonfield,2021-05-12,12.99,4.0,4.0,4.0,4.0,2.0,"Saucy, which I like. Crust was surprisingly good. It was salty and had a nice chew. Finished 4 slices easily, since it was thin. Would go there again. ",#d99011
Tony's Pizza,Carolyn,Haddonfield,2021-05-12,12.99,3.0,3.0,4.0,4.0,2.0,A bit too saucy for me but I liked the crust a lot.,#cb0000
Antonino's,Benjamin,Audubon,2021-05-17,14.4,5.0,5.0,4.0,3.0,5.0,Perfect balance of cheese and crust and cooked exactly the right amount of time. Crust tasted and felt great. Very substantial slices (could feed 3 or even 4 people). No way this isn't in our final top 3.,#d99011
Antonino's,Carolyn,Audubon,2021-05-17,14.4,5.0,5.0,5.0,3.0,5.0,amazing from the first bite. Truly stuffed after eating,#cb0000
Bistro Pizzeria,Benjamin,Collingswood,2021-05-26,12.99,2.0,3.0,4.0,3.0,2.0,"Better than I expected. Needed about 50% more sauce. Crust was excellent and the pizza was cooked perfectly, but lack of sauce dried it out a little for me. Would eat a slice there any day.",#d99011
Bistro Pizzeria,Carolyn,Collingswood,2021-05-26,12.99,2.0,3.0,4.0,3.0,2.0,Like really good bowling alley pizza. Thin. Crust very good.,#cb0000
Nicky B's,Benjamin,Haddonfield,2021-06-05,13.49,1.0,3.0,1.0,4.0,2.0,"Nice flavor in the sauce, but the crust wasnt doing it for me. I like when they include the tiny 3 leg table.",#d99011
Nicky B's,Carolyn,Haddonfield,2021-06-05,13.49,2.0,2.0,3.0,3.0,3.0,"The couple slices that were greasier were better. Otherwise, mediocre pizza. ",#cb0000
Bruno's,Benjamin,Haddon Township,2021-06-13,14.0,5.0,4.0,3.0,2.0,2.0,"Very good. First bite was salty and perfect. Could have used a little more cheese, but really enjoyed it. Reminded me of the pizza joints of my childhood (Scottos in Berlin, or Nino's in Hammonton)",#d99011
