avg update times export

"","client_id","derivative_runner","2017-07-25 00:00:00","2017-07-26 00:00:00","2017-07-27 00:00:00","2017-07-28 00:00:00","2017-07-29 00:00:00","2017-07-30 00:00:00","2017-07-31 00:00:00","2017-08-01 00:00:00","2017-08-02 00:00:00","2017-08-03 00:00:00","2017-08-04 00:00:00","2017-08-05 00:00:00","2017-08-06 00:00:00","2017-08-07 00:00:00","2017-08-08 00:00:00","2017-08-09 00:00:00","2017-08-10 00:00:00","2017-08-11 00:00:00","2017-08-12 00:00:00","2017-08-13 00:00:00","2017-08-14 00:00:00","2017-08-15 00:00:00","2017-08-16 00:00:00","2017-08-17 00:00:00","2017-08-18 00:00:00","2017-08-19 00:00:00","2017-08-20 00:00:00","2017-08-21 00:00:00","2017-08-22 00:00:00","2017-08-23 00:00:00","2017-08-24 00:00:00","2017-08-25 00:00:00","2017-08-26 00:00:00","2017-08-27 00:00:00","2017-08-28 00:00:00","2017-08-29 00:00:00","2017-08-30 00:00:00","2017-08-31 00:00:00","2017-09-01 00:00:00","2017-09-02 00:00:00","2017-09-03 00:00:00","2017-09-04 00:00:00","2017-09-05 00:00:00","2017-09-06 00:00:00","2017-09-07 00:00:00","2017-09-08 00:00:00","2017-09-09 00:00:00","2017-09-10 00:00:00","2017-09-11 00:00:00","2017-09-12 00:00:00","2017-09-13 00:00:00","2017-09-14 00:00:00","2017-09-15 00:00:00","2017-09-16 00:00:00","2017-09-17 00:00:00","2017-09-18 00:00:00","2017-09-19 00:00:00","2017-09-20 00:00:00","2017-09-21 00:00:00","2017-09-22 00:00:00","2017-09-23 00:00:00","2017-09-24 00:00:00","2017-09-25 00:00:00","2017-09-26 00:00:00","2017-09-27 00:00:00","2017-09-28 00:00:00","2017-09-29 00:00:00","2017-09-30 00:00:00","2017-10-01 00:00:00","2017-10-02 00:00:00","2017-10-03 00:00:00","2017-10-04 00:00:00","2017-10-05 00:00:00","2017-10-06 00:00:00","2017-10-07 00:00:00","2017-10-08 00:00:00","2017-10-09 00:00:00","2017-10-10 00:00:00","2017-10-11 00:00:00","2017-10-12 00:00:00","2017-10-13 00:00:00","2017-10-14 00:00:00","2017-10-15 00:00:00","2017-10-16 00:00:00","2017-10-17 00:00:00","2017-10-18 00:00:00","2017-10-19 00:00:00","2017-10-20 00:00:00","2017-10-21 00:00:00","2017-10-22 00:00:00","2017-10-23 00:00:00","2017-10-24 00:00:00","2017-10-25 00:00:00","2017-10-26 00:00:00","2017-10-27 00:00:00","2017-10-28 00:00:00","2017-10-29 00:00:00","2017-10-30 00:00:00","2017-10-31 00:00:00","2017-11-01 00:00:00","2017-11-02 00:00:00","2017-11-03 00:00:00","2017-11-04 00:00:00","2017-11-05 00:00:00","2017-11-06 00:00:00","2017-11-07 00:00:00","2017-11-08 00:00:00","2017-11-09 00:00:00","2017-11-10 00:00:00","2017-11-11 00:00:00","2017-11-12 00:00:00","2017-11-13 00:00:00","2017-11-14 00:00:00","2017-11-15 00:00:00","2017-11-16 00:00:00","2017-11-17 00:00:00","2017-11-18 00:00:00","2017-11-19 00:00:00","2017-11-20 00:00:00","2017-11-21 00:00:00"
"avg duration update time","58","Hadoop","72800","82836","61833","71638","92498","85554","63807","73992","74011","83268","87561","57373","89642","79960","88707","87671","66405","85366","105045","73291","84236","81402","95879","71614","81868","67535","82951","69226","","147474","59499","65559.5","","116549","90157","63989","71852","","88310","88151","","78982","96918","","113194","90670","69730","79700","","83258","143825","100032","","87996","87957","89517","81606","100767","75178","89475","84607","111977","93303","77871","86975","76308","90954","68797","89435","89406","83556","89074","76015","90449","86949","69386","75979","64423","59208.5","75503","57643","42557","70159","57621","69219","54824.5","49896","59927","36927","42444","44623","44269","54270.5","39467.5","53952","34685","41525","59309","46757.5","44995.5","50373","111481","50219.5","41736","51775","47967","45273.5","46308","47993","38589","51397.5","","97745","107922","51627.5","43902","57197.5","40621","50292",""
"avg duration update time","68","Hadoop","29925.666666667","29625.666666667","36013","29573.333333333","29391.5","27959.5","30586.666666667","31730","31820.5","30064.5","28049","28498","24357.666666667","23753.333333333","24756.333333333","29793.666666667","24708.5","28017.333333333","30757","29215.5","32127","33035","29920","33568.5","33548.5","29931.5","31868","29890.5","32413","31458","32237","","30295","31577.5","32794","31689.5","30606.5","","","31465.5","33976.5","31600.5","32325","32500","32786.5","35427","34646.5","33735","32454","33600","29328.5","28896","34913.5","33715.5","35839","28918","33521.5","30964","31344","33816","38874.5","40758.5","34924.5","34029.5","34876.5","32985.5","33218","33280","34998.5","35987.5","32808","36617.5","43318","43985","45873","49117","41424","45342","","97134","","112102","","82037.5","49013","47681","41252","43326","49307","53580","50863","44719","47643","42952","39043","34337.5","42137","36020","35774","40611.5","33489.5","34241","33098.5","49930","36513.5","43313","38228","36409","36318","32180","36747.5","33162","36851.5","31314","31936","31249","33717.5","40600","35672",""
"avg duration update time","166","Hadoop","6922","5032","5536","4517","5100","10809","","3874","4326","4913","6334","5306","7584","5314","4417","7049","6562","3898","4017","5848","4561","","8219","7622","4846","4104","4387","6928","3822","3856","4946","12108","3939","9133","5290","8847","","8006","3622","6630","7238","6885","5587","4617","8537","6532","3748","5730","7372","","6499","5129","6061","4855","5412","9161","6499","6059","6565","5427","4494","12628","","5595","6024","4055","8136","6133","8871","6579","5190","7759","6964","4070","4446","10712","","6726","5583","6102","5072","4955","5291","6646","3933","4587","4896","5437","3932","4182","4856","4800","","3675","5161","4092","6232","4395","4734","4041","5940","4958","6596","5929","4216","3315","5921","4141","6049","5242","","","6292","7819","3533","3509","6599","5158","3923",""
"avg duration update time","197","Hadoop","42107.5","43457.5","42770","43745","38016.5","42149","41180.5","44805","43635.5","44695","42602.5","40325","40991.666666667","41804.5","42561.5","48527","41224.5","40679.666666667","38238.5","54200","42069.5","38430.5","45309","41015.5","43213.5","42643","41778.5","43545.5","43421","42037.5","39981.5","40480","44165","46127.5","47567","41138.5","45690","45648.5","38312.666666667","45206","40706","44422","45983.5","42984.5","42593.5","42321.5","38540.5","38627.5","42165.5","45090.5","45604.5","43899.5","42015.5","38718","41084.5","41478","37026.5","40341.5","34990.666666667","38481.5","35711.5","42545","39494","40642","34554.333333333","41689.5","41830.5","37367.5","44842","41015","39636","41191","40010","39824","35030","41837","37219.5","44320.5","42623","40119.5","38215.5","43201","42805.5","39307","41099.5","43546","40883.5","36852","34771.5","39897","42922","43281","46816","38207","39567","51580","39028.666666667","38413.5","43034.5","45574","42226.5","40842","39847.5","40698.5","41243","39540","41868.5","40413.5","40884","41295","43472.5","43036","38868.5","40126.5","43401","40006","37313","45067.5","44648","37860"
"avg duration update time","292","Hadoop","40998.5","41058","38931","31373","35440","34679.333333333","33038","37209","35773","32059.666666667","37153","36102.5","33122.666666667","34098","36163.5","34823.333333333","33656","30716","33080","34763.5","33889","42421","39047.5","37273.5","32667.333333333","37540","41230","35998","35373.5","33877","36943.5","34907","38549","42316.5","31794.5","39888","39811","33288","38124","33845.666666667","44092","39693","37212","36754","39068.5","38007","35220.5","38814.5","35913","39136","36809.5","38396","40352","36062.5","38875.5","33013","36235","41463","36159.5","33722.666666667","36171","41256.5","39525.5","38565","47088","38448","40100","38896.5","33649","31452","38020.5","34302.5","36604","45620","35596","39583.5","35938","41899.5","43459","40307","36350","38515","38499.5","37270","40720","41373","35828","41189","31402.333333333","33470","37536","34182.5","35189","45585","39908.5","47390","35059.5","38109.5","39761","45362.5","41537","33670.666666667","30307","38546","36740","35653","38756.5","36622","31383","31773.5","32090.5","38404","34097","34525.666666667","34743","36613","33414.666666667","30674.5","31591.5",""
"avg duration update time","425","Hadoop","37707.5","32502.5","30783","37217.5","26665.666666667","32094.5","32375.333333333","35794","27403.5","32046","30198","29863.5","26245.333333333","26725","29526.5","30576","26554.333333333","28316","28859.333333333","27175.5","30236","34216","29521.333333333","25782","30495.5","33426.5","33294","34402.5","36235","32207.5","36564.5","28008.666666667","28710","31655.5","31784.5","35257","33507","31998","30818.5","26859","31713.5","28862.5","28198","30001.5","27763","28585","31435","30857","27447","34343","31183","26071.333333333","26017.5","27106","26011","29941","28211.5","30908","30975","29189.5","30752","31307","33372.5","36017.5","26878.333333333","25664.5","31795.5","30633.5","28288.5","26942.333333333","27506.666666667","27639","23706.333333333","22953.333333333","24159.666666667","24579","22383","20568","22013.333333333","24242.666666667","22154.666666667","23261.5","22664.666666667","23422","24974","23504.666666667","23700.333333333","23640","23896","24677","28122.666666667","23815","23217.666666667","25353","24179","22943.666666667","23616.666666667","25506.666666667","23287.666666667","23635.333333333","26631","26352.666666667","23962","25498.666666667","24366.666666667","24125.666666667","22459","21963.666666667","24521","23744.333333333","21983","28917","25307.75","24519.333333333","28485.5","29384","26779.5","30241.666666667","28421","31671"
"avg duration update time","438","Hadoop","56196","47670","48491","51751","52438","57261","54277","62823","55364","54860","56872","47625","51308","47797","46801","50155","54946","52404","50239","51767","53207","","52871","55604","55328","51941","55336","53099","56321","54367","54058","50178","56660","56281","58550","57286","55294","50096","48261","66322","71827","67561","66649","65532","65404","69487","68978","68309","69140","69702","","83773","73280","74966","78146","75315","77315","77338","82729","77560","74032","80614","78259","76040","77865","72846","76992","73368","79769","79720","","113717","","87713","111364","","107635","69344","","","86976","119472","","90534","","108288","81559","","76698","68991","","93611","","104301","","92178","","87822","","89274","83283","","85595.5","76706","83232","83928","","","","","","","","","","","94208","","112141",""
"avg duration update time","572","Hadoop","43657","38991","","53437","57694.5","44930","50573","50897","36656","45774","","58879.5","41203","","54467","47787","50799","","75036","61275","56511.5","","72295","60019","52610.5","50081","","52238","","94777","44455","53301.5","","59672","53281.5","","52611","43072","58334","56374","","60385","60231.5","","58333","67084","62437","","67472","52775","55720","58873","55310","55740","","54499","54908","48039","37310","37417","34386","45847","43839","41788","48473","38225","49182","38318","40122","41816","44018","45336","","40689","41597","42548","48694","","58868.5","43830","40824","57152","","48580.5","","52935.5","","40989.5","","","39853","42266","39152.5","44405","","50981.5","42502","36816","42497.5","41635","","34189","35675.5","40619.5","35692","34359","34193","37012","44279","37354","38711","","43094.5","42430.5","46575.5","46578","42195","35645","41597","53300"
"avg duration update time","643","Hadoop","74475","66471","70226","73078","61491","69212","64490","70149","71335","","81970","80948","74758","","80512","81155","77407","80722","72529.5","","77817","81240","82232","82810","93839","","78280","82801","80837","84662","82946","95547","","83809","","89679","","76643.5","70158","60563","70890","70519","73163","70895","65371","68332","59775","63783","66849","75383","","63119","68737","58960","70279","73134","61726","","","175515","","","202475","71163","","82983","83496","77431","","77662.5","","88716","89557","","84975","","76653","72761","","83131","93281","","88733","","81514","88621","","85811","78770","63990","70871","71242","65028","","73035","74855","","78254","74045.5","59104","","77903","85851","","80357","77534","79409","85517","85889","89512","","77521","","76332","79000","84093","90377","59107","","77272"
"avg duration update time","717","Hadoop","32139.666666667","31545.5","29342.333333333","28677","26853.666666667","30797.666666667","31497","34633","26133.5","33513","25100.5","27845","27929.333333333","28276","28521.333333333","27453","32633.5","27347.333333333","29923.333333333","27749.333333333","27313.666666667","31746.333333333","27777.333333333","25465.666666667","28263.333333333","29889","28466.333333333","27723","26608","27920.333333333","28724","29845.333333333","25980.666666667","26560","30939","27433.666666667","27331","25740","25282.333333333","23674","27405.666666667","27886","28039.666666667","22629","24445","27199.666666667","22824.25","29272","26911.75","28049","27427.666666667","27081","27218.333333333","28751","28408.333333333","27460.666666667","27859","22979.333333333","27784.75","25809.666666667","22199","25810.5","26821","28652","29053.333333333","23451.333333333","24715.75","22089","24943","24397.333333333","21145","26900","21433.25","24200","22562.25","25539","23015.5","22443.75","20825.75","22161.666666667","24619","23046.666666667","21229.5","23158.75","23080.25","22117.5","22474","23937.75","21049.5","23514.666666667","24316.25","22539","24789.25","25109.333333333","23668","21541.666666667","22461.5","22554.5","23101.5","21646.333333333","24411","23973.75","23350","23184.25","21541.5","21833.25","20280.333333333","22695.75","20904.75","22628.75","23071.666666667","23123","23419.666666667","22781","22721.5","21354.25","20951.75","23298","20872.75","22195"
